1000
;;;Imported Bertec Force Plate #1 - Force;;;Imported Bertec Force Plate #1 - Moment;;;Imported Bertec Force Plate #1 - CoP;;;
Frame;Sub Frame;Tiempo;Fx;Fy;Fz;Mx;My;Mz;Cx;Cy;Cz
;;;N;N;N;N.mm;N.mm;N.mm;mm;mm;mm
231;9;0.229;14.3748;-2.28064;-394.831;641.875;31017.9;-105.927;278.56;298.374;0
232;0;0.23;14.393;-2.27264;-393.641;577.492;30991.2;-114.215;278.73;298.533;0
232;1;0.231;14.411;-2.26366;-392.44;512.046;30962.9;-124.065;278.899;298.695;0
232;2;0.232;14.4288;-2.25373;-391.228;445.767;30933.2;-135.455;279.067;298.861;0
232;3;0.233;14.4466;-2.24287;-390.006;378.888;30902;-148.357;279.235;299.029;0
232;4;0.234;14.4644;-2.23112;-388.773;311.647;30869.2;-162.733;279.401;299.198;0
232;5;0.235;14.4825;-2.21849;-387.531;244.279;30834.8;-178.54;279.567;299.37;0
232;6;0.236;14.501;-2.20501;-386.278;177.022;30798.8;-195.729;279.732;299.542;0
232;7;0.237;14.52;-2.19068;-385.014;110.113;30761.1;-214.244;279.896;299.714;0
232;8;0.238;14.5397;-2.17552;-383.741;43.7822;30721.8;-234.022;280.059;299.886;0
232;9;0.239;14.5603;-2.15955;-382.458;-21.7411;30680.7;-254.994;280.22;300.057;0
233;0;0.24;14.5819;-2.14278;-381.164;-86.2352;30638;-277.087;280.38;300.226;0
233;1;0.241;14.6046;-2.12523;-379.861;-149.485;30593.4;-300.222;280.538;300.394;0
233;2;0.242;14.6286;-2.1069;-378.548;-211.285;30547.1;-324.316;280.695;300.558;0
233;3;0.243;14.654;-2.08782;-377.224;-271.439;30498.9;-349.283;280.851;300.72;0
233;4;0.244;14.6809;-2.068;-375.891;-329.76;30449;-375.032;281.005;300.877;0
233;5;0.245;14.7095;-2.04746;-374.549;-386.075;30397.2;-401.469;281.157;301.031;0
233;6;0.246;14.7397;-2.02621;-373.196;-440.223;30343.5;-428.498;281.307;301.18;0
233;7;0.247;14.7717;-2.00428;-371.834;-492.056;30287.9;-456.021;281.455;301.323;0
233;8;0.248;14.8055;-1.98167;-370.464;-541.441;30230.4;-483.937;281.602;301.462;0
233;9;0.249;14.8411;-1.95842;-369.084;-588.259;30171;-512.146;281.746;301.594;0
234;0;0.25;14.8785;-1.93455;-367.695;-632.405;30109.7;-540.544;281.888;301.72;0
234;1;0.251;14.9177;-1.91007;-366.298;-673.791;30046.5;-569.028;282.028;301.839;0
234;2;0.252;14.9585;-1.885;-364.893;-712.342;29981.4;-597.495;282.165;301.952;0
234;3;0.253;15.001;-1.85937;-363.48;-748.002;29914.4;-625.839;282.3;302.058;0
234;4;0.254;15.045;-1.83319;-362.06;-780.727;29845.5;-653.958;282.432;302.156;0
234;5;0.255;15.0904;-1.80648;-360.634;-810.491;29774.7;-681.749;282.562;302.247;0
234;6;0.256;15.1369;-1.77924;-359.202;-837.284;29702.1;-709.107;282.689;302.331;0
234;7;0.257;15.1844;-1.75148;-357.764;-861.109;29627.7;-735.933;282.813;302.407;0
234;8;0.258;15.2326;-1.72321;-356.322;-881.987;29551.5;-762.125;282.935;302.475;0
234;9;0.259;15.2813;-1.69443;-354.877;-899.954;29473.5;-787.583;283.053;302.536;0
235;0;0.26;15.3302;-1.66511;-353.428;-915.061;29393.9;-812.211;283.168;302.589;0
235;1;0.261;15.3789;-1.63524;-351.977;-927.373;29312.7;-835.913;283.28;302.635;0
