Devices
1000
		Imported Bertec Force Plate #1 - Force			Imported Bertec Force Plate #1 - Moment			Imported Bertec Force Plate #1 - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
233	0	14.5819	-2.14278	-381.164	-86.2352	30638	-277.087	280.38	300.226	0
233	1	14.6046	-2.12523	-379.861	-149.485	30593.4	-300.222	280.538	300.394	0
233	2	14.6286	-2.1069	-378.548	-211.285	30547.1	-324.316	280.695	300.558	0
233	3	14.654	-2.08782	-377.224	-271.439	30498.9	-349.283	280.851	300.72	0
233	4	14.6809	-2.068	-375.891	-329.76	30449	-375.032	281.005	300.877	0
233	5	14.7095	-2.04746	-374.549	-386.075	30397.2	-401.469	281.157	301.031	0
233	6	14.7397	-2.02621	-373.196	-440.223	30343.5	-428.498	281.307	301.18	0
233	7	14.7717	-2.00428	-371.834	-492.056	30287.9	-456.021	281.455	301.323	0
233	8	14.8055	-1.98167	-370.464	-541.441	30230.4	-483.937	281.602	301.462	0
233	9	14.8411	-1.95842	-369.084	-588.259	30171	-512.146	281.746	301.594	0
234	0	14.8785	-1.93455	-367.695	-632.405	30109.7	-540.544	281.888	301.72	0
234	1	14.9177	-1.91007	-366.298	-673.791	30046.5	-569.028	282.028	301.839	0
234	2	14.9585	-1.885	-364.893	-712.342	29981.4	-597.495	282.165	301.952	0
234	3	15.001	-1.85937	-363.48	-748.002	29914.4	-625.839	282.3	302.058	0
234	4	15.045	-1.83319	-362.06	-780.727	29845.5	-653.958	282.432	302.156	0
234	5	15.0904	-1.80648	-360.634	-810.491	29774.7	-681.749	282.562	302.247	0
234	6	15.1369	-1.77924	-359.202	-837.284	29702.1	-709.107	282.689	302.331	0
234	7	15.1844	-1.75148	-357.764	-861.109	29627.7	-735.933	282.813	302.407	0
234	8	15.2326	-1.72321	-356.322	-881.987	29551.5	-762.125	282.935	302.475	0
234	9	15.2813	-1.69443	-354.877	-899.954	29473.5	-787.583	283.053	302.536	0
235	0	15.3302	-1.66511	-353.428	-915.061	29393.9	-812.211	283.168	302.589	0
235	1	15.3789	-1.63524	-351.977	-927.373	29312.7	-835.913	283.28	302.635	0
235	2	15.4272	-1.60481	-350.526	-936.972	29229.8	-858.594	283.388	302.673	0
235	3	15.4745	-1.57377	-349.075	-943.952	29145.5	-880.164	283.493	302.704	0
235	4	15.5205	-1.54209	-347.625	-948.425	29059.7	-900.534	283.595	302.728	0
235	5	15.5648	-1.50971	-346.178	-950.514	28972.6	-919.617	283.693	302.746	0
235	6	15.6069	-1.4766	-344.735	-950.358	28884.2	-937.331	283.787	302.757	0
235	7	15.6462	-1.44268	-343.297	-948.108	28794.7	-953.597	283.877	302.762	0
235	8	15.6824	-1.40788	-341.866	-943.928	28704.1	-968.337	283.963	302.761	0
235	9	15.7148	-1.37214	-340.444	-937.998	28612.5	-981.481	284.045	302.755	0
236	0	15.743	-1.33537	-339.031	-930.505	28520.1	-992.961	284.122	302.745	0
236	1	15.7663	-1.2975	-337.629	-921.651	28426.9	-1002.71	284.196	302.73	0
